Collector,Year,Week,Date,Site name,In/ Mid/ Out,Site number,Label,Extracted,Notes
QBC,2024,K,8/21/2024,Lowell Cove,3,23,K-23-3,,
QBC,2024,K,8/21/2024,Garrison Cove,1,25,K-25-1,,
QBC,2024,K,8/21/2024,Garrison Cove,2,25,K-25-2,,
QBC,2024,K,8/21/2024,Garrison Cove,3,25,K-25-3,,
QBC,2024,K,8/21/2024,Long Point Cove,1,26,K-26-1,,
QBC,2024,K,8/21/2024,Long Point Cove,2,26,K-26-2,,
QBC,2024,K,8/21/2024,Long Point Cove,3,26,K-26-3,,
QBC,2024,K,8/21/2024,Stovers Point,1,28,K-28-1,,
QBC,2024,K,8/21/2024,Stovers Point,2,28,K-28-2,,
QBC,2024,K,8/21/2024,Stovers Point,3,28,K-28-3,,
QBC,2024,K,8/21/2024,Blank,Blank,Blank,K-QBLANK,,
QBC,2024,L,9/6/2024,Orrs Cove,1,21,L-21-1,,
QBC,2024,L,9/6/2024,Orrs Cove,2,21,L-21-2,,
QBC,2024,L,9/6/2024,Orrs Cove,3,21,L-21-3,,
QBC,2024,L,9/6/2024,Snow Island,1,22,L-22-1,,
QBC,2024,L,9/6/2024,Snow Island,2,22,L-22-2,,
QBC,2024,L,9/6/2024,Snow Island,3,22,L-22-3,,
QBC,2024,L,9/6/2024,Lowell Cove,1,23,L-23-1,,
QBC,2024,L,9/6/2024,Lowell Cove,2,23,L-23-2,,
QBC,2024,L,9/6/2024,Lowell Cove,3,23,L-23-3,,
QBC,2024,L,9/6/2024,Garrison Cove,1,25,L-25-1,,Used 0.7 um filter for this and the blank
QBC,2024,L,9/6/2024,Garrison Cove,2,25,L-25-2,,
QBC,2024,L,9/6/2024,Garrison Cove,3,25,L-25-3,,
QBC,2024,L,9/6/2024,Long Point Cove,1,26,L-26-1,,
QBC,2024,L,9/6/2024,Long Point Cove,2,26,L-26-2,,
QBC,2024,L,9/6/2024,Long Point Cove,3,26,L-26-3,,
QBC,2024,L,9/6/2024,Stovers Point,1,28,L-28-1,,
QBC,2024,L,9/6/2024,Stovers Point,2,28,L-28-2,,
QBC,2024,L,9/6/2024,Stovers Point,3,28,L-28-3,,
QBC,2024,L,9/6/2024,Blank,Blank,Blank,L-QBLANK,,"Used 0.7 um filter for this, out of larger pore size"
